n.Name,m.Name
BRCA1,FHL2
BRCA1,POLR2A
BRCA1,MED21
BRCA1,CDK8
BRCA1,DNAJA3
BRCA1,MAP4K4
BRCA1,NUP153
BRCA1,NCOA3
BRCA1,KIF1B
BRCA1,CTCFL
BRCA1,UBE2D1
BRCA1,SMARCA4
BRCA1,H2AFX
BRCA1,SMARCA2
BRCA1,KPNA2
BRCA1,MAP3K3
BRCA1,MED24
BRCA1,MED13
BRCA1,GTF2F1
BRCA1,GTF2E1
BRCA1,GTF2H4
BRCA1,CLSPN
BRCA1,CSNK2B
BRCA1,EP300
BRCA1,HDAC2
BRCA1,HDAC1
BRCA1,SMARCD2
BRCA1,SMARCB1
BRCA1,SMARCC2
BRCA1,SMARCC1
BRCA1,NUP133
BRCA1,NUP170
BRCA1,NUP2
BRCA1,NUP120
BRCA1,MRPL39
BRCA1,NUP188
BRCA1,POM34
BRCA1,DEF1
BRCA1,SPT4
BRCA1,DHH1
BRCA1,CCR4
BRCA1,MLP2
BRCA1,ASM4
BRCA1,SPT5
BRCA1,BRD7
BRCA1,ATR
BRCA1,TOP2A
BRCA1,TERF1
BRCA1,TERF2
BRCA1,PIAS4
BRCA1,UBE2I
BRCA1,SUMO1
BRCA1,PIAS1
BRCA1,VCP
BRCA1,STAT5A
BRCA1,JAK1
BRCA1,JAK2
BRCA1,SUB1
BRCA1,ORC2
BRCA1,ORC3
BRCA1,MDC1
BRCA1,ZCCHC8
BRCA1,TP53BP1
BRCA1,PPP1CA
BRCA1,PPP1R3A
BRCA1,UBC
BRCA1,WDR48
BRCA1,MED1
BRCA1,CSNK2A1
BRCA1,CCNA2
BRCA1,FANCD2
BRCA1,PRKDC
BRCA1,BRCC3
BRCA1,BRE
BRCA1,JUND
BRCA1,JUNB
BRCA1,AURKA
BRCA1,RBBP4
BRCA1,UBE2J1
BRCA1,XRCC5
BRCA1,BRCA1
ARVCF,CDH15
ARVCF,ERBB2IP
PCBD1,PAH
PCBD1,HNF1A
PCBD1,DYRK1B
PCBD1,CACNA1C
PCBD1,FXR2
PCBD1,PCBD1
PCBD1,DVL2
PCBD1,NUDT18
PCBD1,LNX1
PCBD1,NIF3L1
PCBD1,WDYHV1
PCBD1,GORASP2
PCBD1,NFKB1
PCBD1,HNF4A
PCBD1,GTF3C3
PCBD1,TIMELESS
PCBD1,SAP30
PCBD1,ZNF202
PCBD1,WWP1
PCBD1,DENND4A
PCBD1,CEBPZ
PCBD1,ZNF263
PCBD1,ZNF451
PCBD1,DIP2C
PCBD1,SCMH1
PCBD1,POLR3A
PCBD1,CALCOCO1
PCBD1,MIS18BP1
PCBD1,KLF13
PCBD1,BRD7
PCBD1,SMARCD1
PCBD1,SUPT5H
PCBD1,RBL2
PCBD1,ZBTB25
PCBD1,ZNF195
PCBD1,HNF1B
PCBD1,ZNF23
PCBD1,HES4
PCBD1,PAPOLG
PCBD1,SOWAHC
PCBD1,EHMT1
PCBD1,PCBD2
PCBD1,TRIM5
PCBD1,ZNF714
PCBD1,ZNF567
PSEN2,KCNIP3
PSEN2,PSEN1
PSEN2,APH1A
PSEN2,SRI
PSEN2,NCSTN
PSEN2,UBQLN1
PSEN2,PSENEN
PSEN2,FHL2
PSEN2,BCL2L1
PSEN2,KCNIP4
PSEN2,CIB1
PSEN2,APBA2
PSEN2,APBA3
PSEN2,APBA1
PSEN2,GFAP
PSEN2,ICAM5
PSEN2,FLNB
PSEN2,CAPN1
CAPN3,FLNC
CAPN3,TTN
CAPN3,NECAB2
ITPR1,FKBP1A
ITPR1,TRPC4
ITPR1,BANK1
ITPR1,CABP1
ITPR1,Homer1
ITPR1,Homer2
ITPR1,ITPR3
ITPR1,STARD13
ITPR1,RHOA
ITPR1,SDC2
ITPR1,EPB41L1
ITPR1,TRPC5
ITPR1,TRPC6
ITPR1,TRPC1
ITPR1,TRPC2
ITPR1,TRPC3
ITPR1,CA8
ITPR1,PRKG1
ITPR1,MRVI1
ITPR1,AHCYL1
ITPR1,BCL2
MAGI1,Net1
MAGI1,NET1
MAGI1,LRP2
MAGI1,SYNPO
MAGI1,ACTN4
MAGI1,BAI1
MAGI1,ATN1
MAGI1,SFN
MAGI1,FCHSD2
MAGI1,ASIC3
MAGI1,CTNNB1
MAGI1,CDH1
MAGI1,WBP1
MAGI1,WBP2
MAGI1,BZW1
MAGI1,RAC1
RB1,TAF1
RB1,SNAPC1
RB1,SNAPC3
RB1,CDK9
RB1,CCNT2
RB1,E4F1
RB1,E2F4
RB1,E2F1
RB1,RAF1
RB1,RFC1
RB1,ENC1
RB1,HMGB1
RB1,MDM2
RB1,JUN
RB1,TRIP11
RB1,UBTF
RB1,AHR
RB1,ARNT
RB1,AATF
RB1,MNAT1
RB1,E2F2
RB1,TRAP1
RB1,AR
RB1,CCNA1
RB1,TFDP1
RB1,TFDP2
RB1,PHB
RB1,RBBP9
RB1,BRF1
RB1,TBP
RB1,RBBP8
RB1,HDAC1
RB1,NCOA6
RB1,BAG1
RB1,CBX1
RB1,PELP1
RB1,CUX1
RB1,Smarca4
RB1,SMARCA4
RB1,RBBP7
RB1,RBBP4
RB1,EID1
RB1,PIK3R3
RB1,PPARG
RB1,MRFAP1
RB1,MORF4L1
RB1,BRCA1
RB1,ARID4A
RB1,RBL1
RB1,RBL2
RB1,HDAC3
RB1,HDAC2
RB1,DNMT1
RB1,CCND3
RB1,KDM5A
RB1,VDR
RB1,CBX4
RB1,SUV39H1
RB1,ZBTB7A
RB1,SKP2
RB1,THOC1
RB1,ATF2
RB1,MYOD1
RB1,ARID3B
RB1,SNW1
RB1,MCM7
RB1,PA2G4
RB1,ABL1
RB1,CCND1
RB1,MYC
RB1,PML
RB1,PRDM2
RB1,LMNA
RB1,CREG1
RB1,CEBPB
RB1,HBP1
RB1,PAX6
RB1,RBBP5
RB1,USP4
RB1,L3MBTL1
RB1,L3MBTL2
RB1,BCR
RB1,GNB2L1
RB1,TP73
RB1,SERPINB2
RB1,MORF4L2
RB1,DNMT3A
RB1,CDK2
RB1,SP1
RB1,NFIX
RB1,RING1
RB1,CBX5
RB1,CDK4
RB1,AURKB
RB1,LIN9
RB1,FRK
RB1,TMPO
RB1,TGM2
RB1,POLA1
TSG101,VPS28
TSG101,TRIM46
TSG101,RNF111
TSG101,BCR
TSG101,VPS11
TSG101,TRIM35
TSG101,TRIM74
TSG101,RAD18
TSG101,RNF41
TSG101,TRAIP
TSG101,TRIM23
TSG101,MGRN1
TSG101,DZIP3
TSG101,MKRN3
TSG101,RNF126
TSG101,CEP55
TSG101,HGS
TSG101,VPS37C
TSG101,PPFIBP2
TSG101,LRSAM1
TSG101,CDKN1A
TSG101,EP300
TSG101,ITSN1
TSG101,KIF5A
TSG101,VPS37B
TSG101,VPS37A
TSG101,MDM2
TSG101,TP53
TSG101,KRT15
TSG101,GGA3
TSG101,NR3C1
TSG101,AR
TSG101,THRB
TSG101,DMAP1
TSG101,SCAMP3
TSG101,SCNN1A
ORC1,CDC6
ORC1,XRCC5
ORC1,ORC2
ORC1,SKP2
ORC1,CDK2
ORC1,CCNA2
ORC1,TERF2
ORC1,MCM2
ORC1,MCM4
ORC1,MCM6
ORC1,MCM7
ORC1,DBF4
ORC1,CDC7
ORC1,CDC45
ORC1,ORC4
ORC1,ORC5
ORC1,RPA2
ORC1,KAT7
ORC4,ORC2
ORC4,ORC3
ORC4,MCM2
ORC4,MCM4
ORC4,MCM6
ORC4,MCM3
ORC4,ORC1
ORC4,ORC5
ORC4,ORC6
ORC4,RPA2
ORC4,DBF4
MCM5,MCM7
MCM5,MCM3
MCM5,STAT1
MCM5,MCM2
MCM5,MCM6
MCM5,MCM4
MCM5,USP7
MCM5,ORC2
MCM5,ORC6
MCM5,CDC7
MCM5,RPA2
MCM5,CIAO1
MCM5,MDFI
MCM5,SSRP1
MCM5,HIST1H4A
MCM5,AIRE
CDC7,DBF4B
CDC7,ORC1
CDC7,ORC6
CDC7,MCM7
CDC7,MCM5
CDC7,MCM4
CDC7,MCM2
CDC7,MCM3
CDC7,mcm2
CDC7,DBF4
CDC7,CHAF1A
ORC2,BRCA1
ORC2,ORC3
ORC2,ORC1
ORC2,ORC5
ORC2,ORC6
ORC2,ORC4
ORC2,MCM2
ORC2,DBF4
ORC2,RPA1
ORC2,CDC6
ORC2,MCM7
ORC2,MCM5
ORC2,MCM6
ORC2,MCM4
ORC2,MCM8
ORC2,MCM3
ORC2,MCM10
ORC2,CCNA2
ORC2,XRCC5
ORC2,RPA2
ORC2,CDC45
ORC2,TERF2
ORC2,CDK2
ORC2,ORC2
DBF4,ORC1
DBF4,ORC2
DBF4,ORC6
DBF4,ORC5
DBF4,MCM7
DBF4,MCM4
DBF4,MCM3
DBF4,ORC4
DBF4,CDC7
DBF4,LSM8
DBF4,MCM2
AKAP8,AMY1A
AKAP8,DDX5
AKAP8,CCND3
AKAP8,CCND2
AKAP8,CCND1
AKAP8,MCM2
AKAP8,PRKAR2A
MCM2,MCM4
MCM2,MCM6
MCM2,MCM7
MCM2,CCNC
MCM2,TBP
MCM2,AKAP8
MCM2,HIST1H4A
MCM2,RPS4X
MCM2,RPA1
MCM2,ORC2
MCM2,CDC7
MCM2,MCM3
MCM2,MCM5
MCM2,ORC5
MCM2,ORC4
MCM2,ORC1
MCM2,TCEA2
MCM2,ING5
MCM2,BRCC3
MCM2,ATM
MCM2,ATR
MCM2,AIRE
MCM2,DDA1
MCM2,PRKAG1
MCM2,UBA5
MCM2,SSRP1
MCM2,MCPH1
MCM2,DBF4
MCM2,RPA3
MCM2,RPA2
MCM2,MOB4
MCM2,GNB5
MCM2,MPP3
MCM2,PHC2
MCM2,MCM2
RPA1,RPA2
RPA1,RPA3
RPA1,RAD52
RPA1,BLM
RPA1,CCNA2
RPA1,PRIM1
RPA1,ORC2
RPA1,MCM2
RPA1,ORC6
RPA1,MCM7
RPA1,MCM4
RPA1,MCM6
RPA1,RAD1
RPA1,HUS1
RPA1,RPA4
RPA1,MUTYH
RPA1,XPA
RPA1,RAD51
RPA1,MSH4
RPA1,FANCM
RPA1,FYCO1
RPA1,ATG101
RPA1,CHAF1A
RPA1,RB1CC1
RPA1,MCPH1
RPA1,CHD1L
RPA1,ATRIP
RPA1,PRKDC
RPA1,AKTIP
RPA1,CPE
RPA1,ASCC2
RPA1,SELENBP1
RPA1,RBM23
RPA1,HGH1
RPA1,TCEA2
RPA1,KIN
RPA1,TIPIN
RPA1,ATR
RPA1,TP53
RPA1,FANCA
RPA1,TP53BP1
RPA1,BRCA2
RPA1,RAD9A
RPA1,PCNA
RPA1,RPA1
RPA3,RPA4
RPA3,RPA1
RPA3,RPA2
RPA3,RPA3
RPA3,TSC22D1
RPA3,MCM2
RPA3,TFE3
RPA3,CNBP
RPA3,VHL
RPA3,CTNNBIP1
RPA3,PAK7
RPA3,PKIG
RPA3,ERCC6L
RPA3,EIF1B
RPA3,TIMM13
RPA3,PARP3
RPA3,PRIM1
RPA3,CHD1L
RPA3,FYCO1
ORC5,ORC3
ORC5,ORC2
ORC5,MCM2
ORC5,MCM4
ORC5,MCM3
ORC5,MCM7
ORC5,DBF4
ORC5,ORC1
ORC5,ORC4
ORC5,ORC6
ORC5,ORC5
ORC5,RPA2
MCM3,MCM3AP
MCM3,CDC6
MCM3,MCM7
MCM3,MCM5
MCM3,ORC2
MCM3,PTP4A3
MCM3,WRAP73
MCM3,SNCG
MCM3,ORC4
MCM3,ORC5
MCM3,CDC45
MCM3,DBF4
MCM3,MCM2
MCM3,RPA2
MCM3,CDC7
MCM3,PNKP
MCM3,PAK2
MCM3,ENSA
MCM3,LZTR1
MCM3,SSRP1
MCM3,SYF2
MCM3,HIST1H4A
MCM3,PMS2
YWHAZ,FOXO3
YWHAZ,TP53
YWHAZ,GP1BA
YWHAZ,IL9R
YWHAZ,BAD
YWHAZ,INPP5A
YWHAZ,RGS3
YWHAZ,PRKCA
YWHAZ,PRKCD
YWHAZ,PRKCE
YWHAZ,CDC25B
YWHAZ,GP1BB
YWHAZ,MAPT
YWHAZ,BCAR1
YWHAZ,NFATC4
YWHAZ,RAF1
YWHAZ,LARP1
YWHAZ,SF3B1
YWHAZ,PABPC4
YWHAZ,HNRNPL
YWHAZ,NCKAP1
YWHAZ,RPL31
YWHAZ,NADK
YWHAZ,PRKCI
YWHAZ,PRKD1
YWHAZ,PRKCZ
YWHAZ,HDAC4
YWHAZ,REM1
YWHAZ,RRAD
YWHAZ,TSC2
YWHAZ,KIAA1377
YWHAZ,XRCC6
YWHAZ,VIM
YWHAZ,LIMK1
YWHAZ,AANAT
YWHAZ,CDC25A
YWHAZ,DFFA
YWHAZ,EPB41L3
YWHAZ,USP8
YWHAZ,SAMD4B
YWHAZ,KIF5B
YWHAZ,KLC4
YWHAZ,KIAA0930
YWHAZ,EDC3
YWHAZ,RALGPS2
YWHAZ,TNS1
YWHAZ,TNFAIP3
YWHAZ,SSFA2
YWHAZ,LRMP
YWHAZ,LCP2
YWHAZ,MYH9
YWHAZ,HDAC9
YWHAZ,KIAA0232
YWHAZ,FAM65B
YWHAZ,CHAF1A
YWHAZ,MPHOSPH9
YWHAZ,YWHAE
YWHAZ,MADD
YWHAZ,EIF3A
YWHAZ,NEDD4L
YWHAZ,FHOD1
YWHAZ,WWTR1
YWHAZ,FAM53C
YWHAZ,FAM13B
YWHAZ,COPS5
YWHAZ,SYNPO
YWHAZ,RAP1GAP2
YWHAZ,CGNL1
YWHAZ,SYNPO2
YWHAZ,SIMC1
YWHAZ,RMDN3
YWHAZ,MSL2
YWHAZ,ZNF839
YWHAZ,CENPJ
YWHAZ,RASAL3
YWHAZ,WNK1
YWHAZ,WNK2
YWHAZ,HIVEP2
YWHAZ,EPB41L2
YWHAZ,BRAF
YWHAZ,KLC1
YWHAZ,PAK4
YWHAZ,TJP2
YWHAZ,TRA2B
YWHAZ,NOLC1
YWHAZ,RAI14
YWHAZ,MAP3K5
YWHAZ,CSF2RB
YWHAZ,CBL
YWHAZ,SYN2
YWHAZ,AKT1
YWHAZ,TPH1
YWHAZ,TERT
YWHAZ,LYST
YWHAZ,CDK16
YWHAZ,UCP3
YWHAZ,UCP2
YWHAZ,TSC1
YWHAZ,FOXO1
YWHAZ,HMGN1
YWHAZ,HDAC7
YWHAZ,MEPCE
YWHAZ,ARAF
YWHAZ,MAP3K4
YWHAZ,PAK1
YWHAZ,MAP2K5
YWHAZ,MEF2C
YWHAZ,YWHAZ
DOCK8,RAC1
DOCK8,CDC42
TRIP10,ARHGAP17
TRIP10,WAS
TRIP10,CDC42
TRIP10,STAT3
TRIP10,PRKACA
TRIP10,AKAP9
TRIP10,HTT
TRIP10,RHOQ
TRIP10,WBP11
TRIP10,DNM2
TRIP10,INPP5D
TRIP10,SBK1
TRIP10,ASAP1
CDKN3,CDK1
CDKN3,MS4A3
CDKN3,CDK2
RBBP8,BRCA1
RBBP8,BARD1
RBBP8,CTBP1
RBBP8,RB1
RBBP8,RBBP8
RBBP8,RBL2
RBBP8,SIAH1
RBBP8,IKZF1
RBBP8,SIAH2
RBBP8,LMO4
RBBP8,PRKDC
RBBP8,ATM
RBBP8,RBL1
RBBP8,HID1
RBBP8,LIMS1
RBBP8,WDYHV1
RBBP8,PIN1
RBBP8,FXR2
HAND2,HAND2
HAND2,NPM1
HAND2,PPP2R5D
HAND2,PRKACA
HAND2,PRKCA
HAND2,PHOX2A
HAND2,GATA4
HAND2,EP300
HAND2,COPS5
HAND2,TCF3
HAND2,CENPB
CLTC,AMPH
CLTC,CLINT1
CLTC,TNK2
CLTC,LDLRAP1
CLTC,AP3B2
CLTC,AP2A2
CLTC,AP1B1
CLTC,HIP1
CLTC,MAP3K10
CLTC,PICALM
CLTC,VCL
CLTC,Epn1
CLTC,EPN2
CLTC,HGS
CLTC,TOM1
CLTC,SNX5
CLTC,DNAJC6
CLTC,SNX9
CLTC,C10orf88
CLTC,ARMCX3
CLTC,EPN1
CLTC,GGA1
CLTC,GGA3
CLTC,GGA2
CLTC,EHD1
CLTC,KIT
CLTC,IKBKE
CLTC,TFE3
CLTC,MCC
CLTC,WNK1
CLTC,PRKACA
CLTC,SNCA
CLTC,MAP1LC3A
CLTC,STAMBP
CLTC,STAMBPL1
CLTC,STAM
IGFBP3,IGF1
IGFBP3,IGF2
IGFBP3,ADAM12
IGFBP3,TF
IGFBP3,FN1
IGFBP3,RXRA
IGFBP3,IGFALS
IGFBP3,COL1A1
IGFBP3,Igf2
IGFBP3,Ltbp1
IGFBP3,GTF3C1
IGFBP3,POLA2
IGFBP3,IGF1R
IGFBP3,PAPPA2
IGFBP3,PLG
IGFBP3,CD44
TXN,FST
TXN,VIM
TXN,COL1A1
TXN,TXNIP
TXN,MAP3K5
TXN,NFKB1
TXN,TP53
TXN,NR3C1
TXN,NCF4
TXN,PINX1
TXN,GAPDH
TXN,CD40
TXN,VHL
ATF2,UTF1
ATF2,MAPK13
ATF2,PML
ATF2,MAPK1
ATF2,MAPK8
ATF2,HMGA1
ATF2,FOS
ATF2,IRF2BP1
ATF2,NCOA6
ATF2,JDP2
ATF2,CEBPA
ATF2,JUN
ATF2,ATF2
ATF2,CSNK2A1
ATF2,CREBBP
ATF2,RUVBL2
ATF2,SMAD4
ATF2,SMAD3
ATF2,MAPK14
ATF2,UBE2I
ATF2,RB1
ATF2,ATF3
ATF2,YY1
ATF2,HDAC4
CCND3,TSC2
CCND3,NPDC1
CCND3,PCNA
CCND3,CDK11B
CCND3,CRABP2
CCND3,RARA
CCND3,CASP2
CCND3,AKAP8
CCND3,CDK4
CCND3,EIF3K
CCND3,ATP5C1
CCND3,RB1
CCND3,RBX1
CCND3,CDKN1B
CCND3,CDK6
CCND3,EFEMP2
CCND3,DTNBP1
CCND3,MCM10
CCND3,CDKN1A
CCND3,MAF1
RALBP1,RALA
RALBP1,RAC1
RALBP1,REPS1
RALBP1,REPS2
RALBP1,SYNJ2BP
RALBP1,RALB
RALBP1,CCNB1
RALBP1,EPN1
RALBP1,GTF3A
RALBP1,NUMB
RALBP1,HSF1
RALBP1,HSP90AA1
RALBP1,CASP8
RALBP1,TNF
RALBP1,HOOK2
PPIB,APOB
PPIB,PRL
PPIB,WDR48
PPIB,USP21
PPIB,VHL
PPIB,CAMLG
PPIB,TMBIM4
CSRP1,CSRP1
CSRP1,EGFR
CSK,DAG1
CSK,IGF1R
CSK,ARRB1
CSK,HNRNPK
CSK,PAG1
CSK,SHC1
CSK,PXN
CSK,PTK2
CSK,DAB2
CSK,RASA1
CSK,SDC3
CSK,PECAM1
CSK,CBL
CSK,CAV1
CSK,SRC
CSK,CREBBP
CSK,TGFB1I1
CSK,FYN
CSK,INSR
CSK,ERBB3
CSK,EGFR
CSK,JUN
DCN,TNF
DCN,ELN
DCN,C1QA
DCN,COL6A1
DCN,EGFR
DCN,TGFB1
DCN,TGFB2
DCN,PLA2G2A
DCN,AHSG
DCN,SFTPD
DCN,COL14A1
DCN,FLNA
SIM2,ARNT
SIM2,ARNT2
SIM2,PARK2
SIM2,ARIH1
SIM1,ARNT
SIM1,HSP90AA1
NPAS4,ARNTL
NPAS4,ARNT2
NPAS4,ARNT
HBEGF,NRD1
HBEGF,CD82
HBEGF,BAG1
HBEGF,CD44
HBEGF,ZBTB16
HBEGF,EGFR
HBEGF,MMP7
PCNA,CDC6
PCNA,RFC1
PCNA,MCL1
PCNA,CDC25C
PCNA,WRN
PCNA,POLL
PCNA,POLD2
PCNA,APEX1
PCNA,CCNO
PCNA,LIG1
PCNA,CHTF18
PCNA,MSH3
PCNA,XRCC6
PCNA,ANXA2
PCNA,RFC4
PCNA,POLD3
PCNA,MYBBP1A
PCNA,MSH2
PCNA,RPA1
PCNA,RFC3
PCNA,POLD1
PCNA,POLE
PCNA,RFC2
PCNA,RFC5
PCNA,RUVBL2
PCNA,PRKDC
PCNA,XRCC5
PCNA,MSH6
PCNA,DNMT1
PCNA,CDKN1A
PCNA,HUS1
PCNA,KIAA0101
PCNA,FEN1
PCNA,POLH
PCNA,Polk
PCNA,Gadd45b
PCNA,GADD45A
PCNA,GADD45G
PCNA,XRCC1
PCNA,CDT1
PCNA,POLK
PCNA,EGFR
PCNA,ING2
PCNA,CHAF1A
PCNA,KCTD13
PCNA,POLDIP2
PCNA,EP300
PCNA,HDAC1
PCNA,ERCC5
PCNA,CCND3
PCNA,CCND1
PCNA,APEX2
PCNA,YBX1
PCNA,ING1
PCNA,DNTT
PCNA,MUTYH
PCNA,CDK2
PCNA,OTUB1
PCNA,HLTF
PCNA,CLSPN
PCNA,TIMELESS
PCNA,CUL4A
PCNA,DDB1
PCNA,PMS2
PCNA,AIRE
PCNA,ELP3
PCNA,DMAP1
PCNA,CDKN1C
PCNA,CDK4
PCNA,CCNA2
PCNA,PARP1
PCNA,PCNA
TOPBP1,POLE
TOPBP1,RAD9A
TOPBP1,CALCR
TOPBP1,E2F1
TOPBP1,PML
TOPBP1,UBR5
TOPBP1,ZBTB17
TOPBP1,TOP2B
TOPBP1,ATR
TOPBP1,CLK2
TOPBP1,MSH6
TOPBP1,PMS2
TOPBP1,RPAP2
FLNA,ITGB1
FLNA,ITGB7
FLNA,RALA
FLNA,TRAF2
FLNA,BRCA2
FLNA,CASR
FLNA,TRIO
FLNA,GP1BA
FLNA,MYOT
FLNA,SH2B3
FLNA,FILIP1
FLNA,G3BP1
FLNA,USP45
FLNA,OTUD5
FLNA,OTUD1
FLNA,DMWD
FLNA,CMIP
FLNA,FBLIM1
FLNA,NPHP1
FLNA,DCN
FLNA,ITGB6
FLNA,ITGB3
FLNA,FLNB
FLNA,F3
FLNA,DRD2
FLNA,DRD3
FLNA,AR
FLNA,VHL
FLNA,MAPK14
FLNA,APC
FLNA,SRC
FLNA,BANF1
FLNA,CAMKK2
LSM3,LSM4
LSM3,GDF9
LSM3,UTP14A
LSM3,EEF1A1
LSM3,SNRPD3
LSM3,LSM10
LSM3,LSM7
LSM3,XRN2
LSM3,LSM2
LSM3,SNRPE
LSM3,MEPCE
LSM4,LSM6
LSM4,LSM4
LSM4,LSM8
LSM4,LSM7
LSM4,LSM1
LSM4,LSM3
LSM4,LSM2
LSM4,SMN1
LSM4,USP15
LSM4,USP4
LSM4,PRPF4
LSM4,SART3
LSM4,XRN1
LSM4,SNRPE
LSM4,CALCOCO2
LSM4,MEPCE
LSM5,HNRNPD
LSM5,SNRPE
CREBBP,RPA2
CREBBP,HIST3H3
CREBBP,HIST4H4
CREBBP,PPARGC1A
CREBBP,HIF1A
CREBBP,EP300
CREBBP,CREB1
CREBBP,AR
CREBBP,BRCA1
CREBBP,PIAS3
CREBBP,RELA
CREBBP,SRF
CREBBP,PML
CREBBP,ING1
CREBBP,SMAD1
CREBBP,CSNK2A1
CREBBP,CUX1
CREBBP,ATF1
CREBBP,EGR1
CREBBP,CSK
CREBBP,ATF2
CREBBP,JUN
CREBBP,KMT2A
CREBBP,MYOD1
CREBBP,TCF3
CREBBP,MGMT
CREBBP,MSX1
CREBBP,HNF1A
CREBBP,HOXB7
CREBBP,NR3C1
CREBBP,ONECUT1
CREBBP,RBBP7
CREBBP,RBBP4
CREBBP,PELP1
CREBBP,RPS6KA2
CREBBP,MAF
CREBBP,STAT1
CREBBP,CITED1
CREBBP,RPS6KA3
CREBBP,FOXO4
CREBBP,FOXO1
CREBBP,TP53
CREBBP,MYB
CREBBP,PTMA
CREBBP,GLI3
CREBBP,MECOM
CREBBP,MYBL2
CREBBP,TDG
CREBBP,KAT2B
